artist,album,title,duration,playcount,rating,rating_interpretation
"Katy B","Little Red","Emotions","4:35","1","undefined","never-rated"
"Iron Maiden","The Book Of Souls","Empire Of The Clouds","18:01","","undefined","never-rated"
"Arcade Fire","The Suburbs","Empty Room","2:52","2","0","not-rated"
"Mushroomhead","XX (UK Version with 2 bonus tracks)","Empty Spaces","1:51","2","0","not-rated"
"Breed 77","In My Blood (En Mi Sangre)","Empty Words","4:28","2","0","not-rated"
"Pendulum","Immersion","Encoder","5:24","5","0","not-rated"
"Coheed & Cambria","Good Apollo, I'm Burning Star IV, Vol. 2: No World For Tomorrow","The End Complete I: The Fall Of House Atlantic","1:05","19","1","thumbs-down"
"Coheed & Cambria","Good Apollo, I'm Burning Star IV, Vol. 2: No World For Tomorrow","The End Complete II: Radio Bye Bye","4:55","20","4",""
"Coheed & Cambria","Good Apollo, I'm Burning Star IV, Vol. 2: No World For Tomorrow","The End Complete III: The End Complete","7:45","17","4",""
"Coheed & Cambria","Good Apollo, I'm Burning Star IV, Vol. 2: No World For Tomorrow","The End Complete IV: The Road And The Damned","3:36","20","4",""
"Coheed & Cambria","Good Apollo, I'm Burning Star IV, Vol. 2: No World For Tomorrow","The End Complete V: On The Brink","7:09","20","5","thumbs-up"
"Chase & Status","No More Idols","End Credits ft. Plan B","3:21","7","5","thumbs-up"
"Seven Lions","The Throes Of Winter","The End (feat. HALIENE)","4:52","9","5","thumbs-up"
"The Strokes","Room On Fire","The End Has No End","3:08","1","1","thumbs-down"
"3","The End Is Begun (Special Edition)","The End Is Begun","3:42","21","undefined","never-rated"
"Thousand Foot Krutch","The End Is Where We Begin","The End Is Where We Begin","3:45","23","5","thumbs-up"
"Killswitch Engage","The End Of Heartache","The End Of Heartache","4:59","3","5","thumbs-up"
"Killswitch Engage","The End Of Heartache [Disc 2]","The End Of Heartache [Resident Evil Version]","4:06","1","0","not-rated"
"Netsky","Netsky","Endless Search","4:16","2","0","not-rated"
"Muse","Absolution","Endlessly","3:49","1","0","not-rated"
"AFI","Decemberunderground","Endlessly, She Said","4:26","3","5","thumbs-up"
"Ashes Divide","Keep Telling Myself It's Alright (Uk Version)","Enemies","3:17","1","undefined","never-rated"
"Metallica","The Greatest Hits","Enter Sandman","5:32","4","0","not-rated"
"Metallica","S & M","Enter Sandman [Explicit]","7:40","2","0","not-rated"
"Linkin Park","Reanimation","Enth E Nd","4:00","15","5","thumbs-up"
"Tool","Lateralus","Eon Blue Apocalypse","1:05","16","1","thumbs-down"
"Intervals","A Voice Within","Ephemeral","5:04","3","undefined","never-rated"
"Sandro Silva & Quintino","Until Now","Epic","5:58","1","0","not-rated"
"Faith No More","The Very Best Definitive Ultimate Greatest Hits Collection (Digital) [Explicit]","Epic (2009 Remastered) [Explicit]","4:54","4","5","thumbs-up"
"Mushroomhead","XX","Episode 29","1:37","3","1","thumbs-down"
"Mushroomhead","XX (UK Version with 2 bonus tracks)","Episode 29","1:36","3","1","thumbs-down"
"Periphery","Periphery II","Epoch","2:10","","undefined","never-rated"
"Curtis Schweitzer","Starbound Orchestral Original Soundtrack","Epsilon Indi","10:58","1","undefined","never-rated"
"Queens of the Stone Age","Era Vulgaris","Era Vulgaris (richard pile remix)","6:06","2","0","not-rated"
"Mushroomhead","Savior Sorrow","Erase The Doubt","4:15","","0","not-rated"
"Coheed and Cambria","The Color Before The Sun","E  Eraser","3:53","10","5","thumbs-up"
"Marcin Przybyłowicz","The Witcher 3: Wild Hunt - Official Soundtrack","Eredin, King of the Hunt","2:27","9","0","not-rated"
"The Mars Volta","De-Loused in the Comatorium","Eriatarka","6:20","4","undefined","never-rated"
"Curtis Schweitzer","Starbound Orchestral Original Soundtrack","Eridanus Supervoid","7:33","1","undefined","never-rated"
"Periphery","Periphery II","Erised","6:13","","undefined","never-rated"
"The Dear Hunter","Migrant Reprise","An Escape","3:38","22","undefined","never-rated"
"Intervals","A Voice Within","The Escape","4:03","2","undefined","never-rated"
"Muse","Showbiz","Escape","3:32","1","0","not-rated"
"Netsky","Netsky","Escape (feat. Darrison)","5:58","3","0","not-rated"
"Carpenter Brut","EP I","Escape from Midwich Valley","6:43","1","undefined","never-rated"
"Carpenter Brut","Trilogy","Escape from Midwich Valley","6:43","3","undefined","never-rated"
"Bernhoft","Islander","Esiwalk","3:38","15","5","thumbs-up"
"Alt-J","An Awesome Wave","Estocada","3:39","5","0","not-rated"
"Mushroomhead","XIII","Eternal","3:13","2","0","not-rated"
"","Guild Wars Factions","The Eternal Grove","1:33","","0","not-rated"
"Red Hot Chili Peppers","I'm With You","Ethiopia","3:51","2","0","not-rated"
"Tool","Ænima","Eulogy","8:29","2","0","not-rated"
"Usher","Until Now","Euphoria (Swedish House Mafia Extended Dub)","4:56","1","0","not-rated"
"Periphery","Icarus EP","Eureka","5:16","","undefined","never-rated"
"Curtis Schweitzer","Starbound Orchestral Original Soundtrack","Europa","6:04","","undefined","never-rated"
"Pearl Jam","Rearviewmirror: Greatest Hits 1991-2003","Even Flow","5:03","1","undefined","never-rated"
"Rizzle Kicks","Stereo Typical","Even On A Rainy Day","4:08","2","0","not-rated"
"Red Hot Chili Peppers","I'm With You","Even You Brutus?","4:02","2","5","thumbs-up"
"AFI","Art of Drowning","Ever and a Day","3:07","3","0","not-rated"
"Foo Fighters","Greatest Hits","Everlong","4:10","6","0","not-rated"
"Foo Fighters","Greatest Hits","Everlong (Acoustic Version)","4:11","7","5","thumbs-up"
"The Rasmus","Hell Of A Collection","Every Day","3:18","1","0","not-rated"
"Imagine Dragons","Night Visions","Every Night","3:38","7","0","not-rated"
"Coldplay","Until Now","Every Teardrop Is a Waterfall (Coldplay vs. Swedish House Mafia)","6:49","1","0","not-rated"
"The Prodigy","Their Law: The Singles 1990-2005","Everybody In The Place (Fairground Remix)","5:09","1","0","not-rated"
"Queens of the Stone Age","Lullabies To Paralyze","Everybody Knows That You're Insane","4:15","2","0","not-rated"
"Evanescence","Fallen","Everybody's Fool","3:16","2","5","thumbs-up"
"Jon Lajoie","You Want Some of This?","E  Everyday Normal Crew","4:52","","undefined","never-rated"
"Jon Lajoie","You Want Some of This?","E  Everyday Normal Guy","3:21","1","undefined","never-rated"
"Jon Lajoie","You Want Some of This?","E  Everyday Normal Guy 2","3:15","","undefined","never-rated"
"Innerpartysystem","Innerpartysystem","Everyone Is The Same","3:50","6","4",""
"Thousand Foot Krutch","Set It Off","Everyone Like Me","3:15","2","5","thumbs-up"
"Davenport Cabinet","Damned Renegades","Everyone Surrounding","3:34","2","0","not-rated"
"Katy B","Little Red","Everything","3:47","1","undefined","never-rated"
"Deadmau5","4X4=12","Everything Before","6:37","5","0","not-rated"
"Slipknot","Antennas To Hell","Everything Ends","4:43","1","1","thumbs-down"
"Coheed and Cambria","The Second Stage Turbine Blade","Everything Evil","5:51","16","5","thumbs-up"
"Coheed and Cambria","The Second Stage Turbine Blade","Everything Evil [Demo Version]","13:38","10","0","not-rated"
"The Forster King Band","Keep The Music Playing","Everything Gonna Be Alright","4:35","4","5","thumbs-up"
"Barenaked Ladies","Are Me","Everything Had Changed","3:23","1","0","not-rated"
"Chet Faker","Thinking in Textures","Everything I Wanted","3:31","6","0","not-rated"
"Radiohead","The Best Of [Explicit]","Everything In Its Right Place [Explicit]","4:11","2","5","thumbs-up"
"Bernhoft","Islander","Everything Will Be Alright","5:04","12","undefined","never-rated"
"Faith No More","The Very Best Definitive Ultimate Greatest Hits Collection (Digital) [Explicit]","Everything's Ruined (2009 Remastered) [Explicit]","4:35","1","0","not-rated"
"The Dear Hunter","Act II: The Meaning Of, And All Things Regarding Ms. Leading","Evicted","3:44","25","undefined","never-rated"
"Faith No More","The Very Best Definitive Ultimate Greatest Hits Collection (Digital) [Explicit]","Evidence (2009 Remastered) [Explicit]","4:55","1","0","not-rated"
"Hadouken!","For the Masses","Evil","3:58","6","4",""
"Breaking Benjamin","Phobia","Evil Angel","3:41","4","undefined","never-rated"
"Breed 77","The Evil Inside","The Evil Inside","3:12","4","0","not-rated"
"Cristobal Tapia de Veer","Utopia (Original Television Soundtrack)","Evil Prevails","2:55","1","undefined","never-rated"
"Eminem","The Marshall Mathers LP2","Evil Twin","5:57","3","0","not-rated"
"Modestep","Evolution Theory","Evolution Theory","4:13","2","0","not-rated"
"Simply Red","The Greatest Hits 25","Ev'ry Time We Say Goodbye","3:07","2","0","not-rated"
"Nothing But Thieves","Nothing But Thieves (Deluxe)","Excuse Me","3:38","12","0","not-rated"
"Radiohead","The Best Of [Explicit]","Exit Music (For A Film) [Explicit]","4:28","1","0","not-rated"
"Davenport Cabinet","Risks in Magic","Exit to Exist","1:00","1","undefined","never-rated"
"Muse","Black Holes And Revelations","Exo-politics","3:54","2","0","not-rated"
"Muse","The Resistance","Exogenesis: Symphony Part 1 (Overture)","4:19","1","0","not-rated"
"Muse","The Resistance","Exogenesis: Symphony Part 2 (Cross-Pollination)","3:57","1","0","not-rated"
"Muse","The Resistance","Exogenesis: Symphony Part 3 (Redemption)","4:37","1","0","not-rated"
"Cristobal Tapia de Veer","Utopia (Original Television Soundtrack)","The Experiment","6:16","1","undefined","never-rated"
"Curtis Schweitzer","Starbound Orchestral Original Soundtrack","(Experimental OST) Arctic Battle 1","2:24","","undefined","never-rated"
"Curtis Schweitzer","Starbound Orchestral Original Soundtrack","(Experimental OST) Arctic Battle 2","1:55","","undefined","never-rated"
"Curtis Schweitzer","Starbound Orchestral Original Soundtrack","(Experimental OST) Arctic Battle 3","1:39","","undefined","never-rated"
"Curtis Schweitzer","Starbound Orchestral Original Soundtrack","(Experimental OST) Arctic Constellation 1","11:04","","undefined","never-rated"
"Curtis Schweitzer","Starbound Orchestral Original Soundtrack","(Experimental OST) Arctic Constellation 2","9:24","","undefined","never-rated"
"Curtis Schweitzer","Starbound Orchestral Original Soundtrack","(Experimental OST) Arctic Exploration 1","4:15","","undefined","never-rated"
"Curtis Schweitzer","Starbound Orchestral Original Soundtrack","(Experimental OST) Arctic Exploration 2","4:00","","undefined","never-rated"
"Curtis Schweitzer","Starbound Orchestral Original Soundtrack","(Experimental OST) Crystal Battle 1","3:08","","undefined","never-rated"
"Curtis Schweitzer","Starbound Orchestral Original Soundtrack","(Experimental OST) Crystal Exploration 1","3:04","","undefined","never-rated"
"Curtis Schweitzer","Starbound Orchestral Original Soundtrack","(Experimental OST) Crystal Exploration 2","4:20","","undefined","never-rated"
"Curtis Schweitzer","Starbound Orchestral Original Soundtrack","(Experimental OST) Desert Battle 2","3:38","","undefined","never-rated"
"Curtis Schweitzer","Starbound Orchestral Original Soundtrack","(Experimental OST) Desert Exploration 1","2:30","","undefined","never-rated"
"Curtis Schweitzer","Starbound Orchestral Original Soundtrack","(Experimental OST) Desert Exploration 2","3:05","","undefined","never-rated"
"Curtis Schweitzer","Starbound Orchestral Original Soundtrack","(Experimental OST) Glitch","3:20","","undefined","never-rated"
"Curtis Schweitzer","Starbound Orchestral Original Soundtrack","(Experimental OST) Inviolate","2:46","","undefined","never-rated"
"Curtis Schweitzer","Starbound Orchestral Original Soundtrack","(Experimental OST) Lava Exploration 1","3:20","","undefined","never-rated"
"Curtis Schweitzer","Starbound Orchestral Original Soundtrack","(Experimental OST) Lava Exploration 2","4:47","","undefined","never-rated"
"Curtis Schweitzer","Starbound Orchestral Original Soundtrack","(Experimental OST) Ocean Battle 1","1:22","","undefined","never-rated"
"Curtis Schweitzer","Starbound Orchestral Original Soundtrack","(Experimental OST) Ocean Exploration 2","3:22","","undefined","never-rated"
"Curtis Schweitzer","Starbound Orchestral Original Soundtrack","(Experimental OST) On The Beach At Night_","4:16","","undefined","never-rated"
"Curtis Schweitzer","Starbound Orchestral Original Soundtrack","(Experimental OST) Planetarium","4:18","","undefined","never-rated"
"Curtis Schweitzer","Starbound Orchestral Original Soundtrack","(Experimental OST) Tentacle Battle 1","1:26","","undefined","never-rated"
"Curtis Schweitzer","Starbound Orchestral Original Soundtrack","(Experimental OST) Tentacle Exploration 1","2:39","","undefined","never-rated"
"Selah Sue","Selah Sue","Explanations","2:48","18","5","thumbs-up"
"Muse","The 2nd Law","Explorers","5:47","3","0","not-rated"
"Jeremy Soule","Guild Wars 2 Original Game Soundtrack","Explorers and Artifacts","2:17","1","0","not-rated"
"AFI","Black Sails in the Sunset","Exsanguination","22:37","3","0","not-rated"
"Slipknot","Antennas To Hell","Eyeless","3:57","2","1","thumbs-down"
"Slipknot","Antennas To Hell","Eyeless","4:12","2","1","thumbs-down"
"Tides Of Man","Young and Courageous","Eyes Like Strange Sins","7:50","2","undefined","never-rated"
"Aloe Blacc","Lift Your Spirit","Eyes Of A Child","6:14","6","0","not-rated"
"Mikolai Stroinski","The Witcher 3: Wild Hunt - Official Soundtrack","Eyes of the Wolf","2:04","4","0","not-rated"
"Breed 77","Breed 77","Eyes that see","4:27","2","0","not-rated"
"Breed 77","Cultura","Eyes That See '04","4:31","4","4",""
"Gotye","Making Mirrors","Eyes Wide Open","3:12","8","5","thumbs-up"
"No Devotion","Permanence","Eyeshadow","3:50","3","undefined","never-rated"
"Flume","Flume: Deluxe Edition","Ezra","3:38","10","0","not-rated"
"Oneohtrix Point Never","Garden of Delete","Ezra","4:26","3","undefined","never-rated"
"The Rasmus","Hell Of A Collection","F-F-F-Falling","3:53","3","5","thumbs-up"
"Disclosure","Settle (Deluxe)","F For You","4:29","3","5","thumbs-up"
"Tool","Lateralus","Faaip de Oiad","2:40","5","1","thumbs-down"
"Jonas Hellberg","Krater OST","Fabrikerna (Remix by Jonas Hellberg)","4:13","3","0","not-rated"
"Newton Faulkner","Hand Built By Robots","Face [Her]","0:40","9","1","thumbs-down"
"Good Charlotte","Good Morning Revival","Face The Strange","2:58","1","1","thumbs-down"
"Red Hot Chili Peppers","I'm With You","Factory Of Faith","4:20","4","5","thumbs-up"
"Kanye West","The Life of Pablo","Facts (Charlie Heat Version)","3:14","1","0","not-rated"
"Kanye West","The Life of Pablo","Fade","3:08","1","0","not-rated"
"Metallica","The Greatest Hits","Fade To Black","6:56","6","4",""
"Brand New","Your Favorite Weapon (Deluxe Edition)","Failure By Design","3:16","2","5","thumbs-up"
"Tides Of Man","Dreamhouse","A Faint Illusion","4:44","2","undefined","never-rated"
"Simply Red","The Greatest Hits 25","Fairground","4:27","10","5","thumbs-up"
"Queens of the Stone Age","...Like Clockwork","Fairweather Friends","3:44","7","5","thumbs-up"
"Thousand Foot Krutch","Phenomenon","Faith, Love and Happiness","2:55","1","5","thumbs-up"
"Simply Red","The Greatest Hits 25","Fake","3:45","9","5","thumbs-up"
"Radiohead","The Best Of [Explicit]","Fake Plastic Trees [Explicit]","4:52","1","0","not-rated"
"Arctic Monkeys","Whatever People Say I Am, That's What I'm Not","Fake Tales Of San Francisco","2:59","3","0","not-rated"
"The Dear Hunter","The Color Spectrum The Complete Collection","Fall And Flee (White)","4:07","7","undefined","never-rated"
"AFI","EP Songs","Fall Children","8:33","4","1","thumbs-down"
"Mudvayne","Lost and Found","Fall Into Sleep","3:51","1","undefined","never-rated"
"Marilyn Manson","The Pale Emperor (Deluxe)","Fall Of The House Of Death","4:30","","undefined","never-rated"
"Spineshank","Self-Destructive Pattern","Fallback","3:16","6","4",""
"(Hed) P.E.","Blackout","Fallen","4:01","3","0","not-rated"
"Imagine Dragons","Night Visions","Fallen","3:00","3","0","not-rated"
"Mushroomhead","Savior Sorrow","The Fallen","4:22","","0","not-rated"
"Iron Maiden","Brave New World","The Fallen Angel","4:00","2","undefined","never-rated"
"Jeremy Soule","Guild Wars 2 Original Game Soundtrack","Fallen Comrades","0:38","1","0","not-rated"
"Iwan Rheon","Changing Times - EP","Falling","3:45","3","5","thumbs-up"
"Good Charlotte","AOL Sessions: Under Cover","Falling Away (Bonus Track)","14:31","1","0","not-rated"
"Muse","Absolution","Falling Away With You","4:41","2","0","not-rated"
"Muse","Showbiz","Falling Down","4:34","2","0","not-rated"
"Plan B","ill Manors","E  Falling Down","4:45","9","0","not-rated"
"Story Of The Year","Page Avenue (US Non-PA Version)","E  Falling Down (Album Version + Untitled Hidden Track)","3:58","","undefined","never-rated"
"マキシマム ザ ホルモン","Rokkinpo Goroshi","falling　jimmy","2:09","3","0","not-rated"
"Selah Sue","Reason","Falling Out","3:51","7","0","not-rated"
"Spineshank","Self-Destructive Pattern","Falls Apart","2:57","2","5","thumbs-up"
"Thousand Foot Krutch","The Flame in All of Us","Falls Apart","3:36","1","5","thumbs-up"
"The Cinematic Orchestra featuring Fontella Bass","Ma Fleur","Familiar Ground","4:34","","undefined","never-rated"
"Kanye West","The Life of Pablo","Famous","3:09","1","0","not-rated"
"Guano Apes","Bel Air","Fanman","3:52","2","0","not-rated"
"Coheed & Cambria","Year Of The Black Rainbow","Far","4:54","10","5","thumbs-up"
"Jeremy Soule","Guild Wars 2 Original Game Soundtrack","Farahr","2:44","3","0","not-rated"
"Marcin Przybyłowicz","The Witcher 3: Wild Hunt - Official Soundtrack","Farewell, Old Friend","2:53","3","0","not-rated"
"Jeremy Soule","Guild Wars 2 Original Game Soundtrack","Farren's Theme","1:03","2","0","not-rated"
"Paolo Nutini","Caustic Love","Fashion feat. Janelle Monáe","3:06","2","undefined","never-rated"
"AWOLNATION","Run","Fat Face","3:33","12","undefined","never-rated"
"Mikolai Stroinski","The Witcher 3: Wild Hunt - Official Soundtrack","Fate Calls","1:58","2","0","not-rated"
"Marilyn Manson","The Pale Emperor (Deluxe)","Fated, Faithful, Fatal","4:41","","undefined","never-rated"
"The Dear Hunter","Act III: Life And Death","Father","3:25","9","undefined","never-rated"
"Kanye West","The Life of Pablo","Father Stretch My Hands Pt. 1","2:12","1","0","not-rated"
"Emigrate","Silent So Long","Faust","3:42","7","undefined","never-rated"
"Thousand Foot Krutch","The Flame in All of Us","Favorite Disease","3:48","3","0","not-rated"
"Incubus","S.C.I.E.N.C.E.","Favorite Things","3:11","3","undefined","never-rated"
"Groove Armada, Digitaria","Little Black Book","Favourite Addiction (Groove Armada's Dub Creation)","8:49","","undefined","never-rated"
"Breed 77","The Evil Inside","Fear","4:42","3","0","not-rated"
"Skindred","Babylon","The Fear","3:46","3","5","thumbs-up"
"Marina & The Diamonds","Electra Heart","Fear and Loathing","6:08","6","5","thumbs-up"
"Mushroomhead","XX","Fear Held Dear","2:19","3","0","not-rated"
"Mushroomhead","XX (UK Version with 2 bonus tracks)","Fear Held Dear","2:17","3","0","not-rated"
"Mushroomhead","XX (UK Version with 2 bonus tracks)","Fear Held Dear","2:24","","undefined","never-rated"
"Fink","Perfect Darkness","Fear Is Like Fire","3:58","1","undefined","never-rated"
"Jeremy Soule","Guild Wars 2 Original Game Soundtrack","Fear Not This Night","5:02","3","0","not-rated"
"Selah Sue","Reason","Fear Nothing","3:25","16","5","thumbs-up"
"Coheed & Cambria","Good Apollo, I'm Burning Star IV, Vol. 2: No World For Tomorrow","Feathers","4:56","21","5","thumbs-up"
"Kanye West","The Life of Pablo","Feedback","2:31","1","0","not-rated"
"Mushroomhead","Beautiful Stories For Ugly Children","The Feel","3:53","","0","not-rated"
"Selah Sue","Reason","Feel","3:39","9","0","not-rated"
"Groove Armada","Little Black Book","Feel Free (Pianna Version)","6:39","2","undefined","never-rated"
"Modestep","Evolution Theory","Feel Good","4:10","2","5","thumbs-up"
"Anberlin","Blueprints For City Friendships: The Anberlin Anthology","The Feel Good Drag","3:26","8","5","thumbs-up"
"Iwan Rheon","Dinard","Feel It Coming","3:18","3","undefined","never-rated"
"Rebirth Brass Band","Treme: Music From The HBO Original Series, Season 1","Feel Like Funkin' It Up","3:30","1","0","not-rated"
"Gemini","Graduation EP","Feel Me","4:30","8","1","thumbs-down"
"Gemini","Blue EP","Feel Stronger","5:09","6","4",""
"Muse","Origin of Symmetry","Feeling Good","3:19","20","0","not-rated"
"The Reign of Kindo","Play with Fire","Feeling in the Night","5:24","3","0","not-rated"
"Jamiroquai","High Times - Singles 1992-2006","Feels Just Like It Should (Live from Clapham Common)","3:44","2","0","not-rated"
"Jamiroquai","High Times - Singles 1992-2006","Feels Just Like It Should (Remastered for 2006)","4:34","1","0","not-rated"
"Of Mice & Men","Restoring Force","Feels Like Forever","3:13","3","0","not-rated"
"Newton Faulkner","Hand Built By Robots","Feels Like Home","3:11","13","5","thumbs-up"
"Everything Everything","Arc (Deluxe)","Feet For Hands","3:57","14","5","thumbs-up"
"36 Crazyfists","Rest Inside the Flames","Felt Through A Phone Line","4:26","2","0","not-rated"
"Aloe Blacc","Good Things","Femme Fatale","3:57","4","0","not-rated"
"Cristobal Tapia de Veer","Utopia (Original Television Soundtrack)","Fertility Control","1:50","1","undefined","never-rated"
"Jeremy Soule & Julian Soule","Guild Wars: Nightfall","Festival of Lyss","3:20","","0","not-rated"
"Good Charlotte","Good Charlotte","Festival Song","3:01","1","0","not-rated"
"Rammstein","Mutter","Fever Frei","3:10","2","5","thumbs-up"
"Feed Me","Calamari Tuesday","Fiasco","3:53","","undefined","never-rated"
"Marcin Przybyłowicz","The Witcher 3: Wild Hunt - Official Soundtrack","The Fields of Ard Skellig","3:09","","0","not-rated"
"Marilyn Manson","Lest We Forget","The Fight Song","3:00","9","5","thumbs-up"
"In This Moment","Black Widow","The Fighter","4:52","8","5","thumbs-up"
"Royal Blood","Royal Blood","Figure It Out","3:04","6","undefined","never-rated"
"Muse","Showbiz","Fillip","4:02","1","0","not-rated"
"The Dear Hunter","The Color Spectrum The Complete Collection","Filth And Squalor (Black)","4:01","38","5","thumbs-up"
"Anberlin","Blueprints For City Friendships: The Anberlin Anthology","(*Fin)","8:54","2","0","not-rated"
"Anberlin","Cities","(*Fin)","8:53","3","0","not-rated"
"Breed 77","Breed 77","Final Prayer","6:00","3","5","thumbs-up"
"Madeon","Adventure (Deluxe)","Finale (feat. Nicholas Petricca)","3:24","8","5","thumbs-up"
"The Hives","Veni Vidi Vicious","Find Another Girl","3:13","1","0","not-rated"
"Knife Party","100% No Modern Talking - EP","Fire Hive","4:39","3","0","not-rated"
"Guano Apes","Bel Air","Fire in your Eyes","4:39","2","0","not-rated"
"Chase & Status","No More Idols","Fire In Your Eyes ft. Maverick Sabre","4:15","9","4",""
"Gemini","Fire Inside - EP","Fire Inside (feat. Greta Svabo Bech)","4:42","13","0","not-rated"
"Gemini","Fire Inside - EP","Fire Inside (feat. Greta Svabo Bech)","4:42","14","5","thumbs-up"
"Thousand Foot Krutch","Welcome To The Masquerade","Fire It Up","3:08","3","5","thumbs-up"
"The Prodigy","Their Law: The Singles 1990-2005","Firestarter","4:42","3","5","thumbs-up"
"The Prodigy","Their Law: The Singles 1990-2005","Firestarter (Live)","5:21","1","1","thumbs-down"
"Skindred","Babylon","Firing The Love","3:38","2","0","not-rated"
"Explosions In The Sky","The Earth Is Not A Cold Dead Place","First Breath After Coma","9:39","26","0","not-rated"
"The Rasmus","Dead Letters","First Day Of My Life","3:44","1","undefined","never-rated"
"Anthony Green","Avalon (Deluxe)","The First Day Of Work At The Microscope Store","3:09","1","undefined","never-rated"
"Anthony Green","Avalon (Deluxe)","The First Day Of Work At The Microscope Store (H&D EP Version)","1:44","1","undefined","never-rated"
"Queens Of The Stone Age","Songs For The Deaf","First It Giveth","3:18","4","5","thumbs-up"
"Skrillex","More Monsters And Sprites EP","First Of The Year (Equinox)","4:22","9","5","thumbs-up"
"Big Big Train","English Electric (Part One)","The First Rebreather","8:32","2","undefined","never-rated"
"Newton Faulkner","Rebuilt By Humans","First Time","3:41","6","0","not-rated"
"Anthony Green","Avalon (Deluxe)","The Fisherman Will Be Bewildered (H&D EP Version)","3:32","","undefined","never-rated"
"Alt-J","An Awesome Wave","Fitzpleasure","3:40","16","5","thumbs-up"
"Jeremy Soule & Julian Soule","Guild Wars: Nightfall","The Five True Gods","1:08","","0","not-rated"
"Killswitch Engage","The End Of Heartache [Disc 2]","Fixation On The Darkness [Live]","3:40","1","0","not-rated"
"System Of A Down","Steal This Album","F**k The System","2:13","1","1","thumbs-down"
"Cee Lo Green","The Lady Killer [Explicit]","F**k You [Explicit]","3:43","1","0","not-rated"
"Thousand Foot Krutch","The Flame in All of Us","The Flame in All of Us","3:23","1","5","thumbs-up"
"Chase & Status","No More Idols","Flashing Lights ft Sub Focas and Takura","4:10","9","5","thumbs-up"
"Bastille","Bad Blood","Flaws","3:39","3","5","thumbs-up"
"(Hed) P.E.","Blackout","Flesh And Bone","3:47","2","0","not-rated"
"Tool","Undertow","Flood","7:46","1","1","thumbs-down"
"Breed 77","Breed 77","Floods","5:52","4","0","not-rated"
"Grant Kirkhope","Viva Piñata: Original Soundtrack","Flower Greetings","2:28","3","0","not-rated"
"Extreme","Saudades de Rock","Flower Man","3:54","4","0","not-rated"
"Tenacious D","Rize of the Fenix","Flutes and Trombones","1:29","3","0","not-rated"
"Breed 77","Breed 77","Fly","5:10","2","0","not-rated"
"Thousand Foot Krutch","The End Is Where We Begin","Fly On The Wall","4:03","13","5","thumbs-up"
"Foreign Beggars & Donae'o","The Uprising","E  Flying to Mars","3:54","5","5","thumbs-up"
"Foreign Beggars & Donae'o","The Uprising","E  Flying to Mars (12th Planet's Martian Trapstep Remix)","4:50","1","0","not-rated"
"Kanye West","The Life of Pablo","FML","3:49","1","0","not-rated"
"Iwan Rheon","Tongue Tied - EP","Follow Me","2:32","2","0","not-rated"
"Muse","The 2nd Law","Follow Me","3:51","5","5","thumbs-up"
"Closure In Moscow","Pink Lemonade","E  The Fool","1:33","60","0","not-rated"
"Cee Lo Green","The Lady Killer [Explicit]","Fool For You (Feat. Phillip Bailey)","3:41","1","0","not-rated"
"Chase & Status","No More Idols","Fool Yourself ft. Plan B and Rage","4:34","5","0","not-rated"
"Fink","Perfect Darkness","Foot In The Door","5:03","","undefined","never-rated"
"Kendrick Lamar","To Pimp A Butterfly","E  For Free? (Interlude)","2:10","9","undefined","never-rated"
"Kendrick Lamar","To Pimp A Butterfly","E  For Sale? (Interlude)","4:51","6","undefined","never-rated"
"Metallica","The Greatest Hits","For Whom The Bell Tolls","5:12","5","4",""
"Metallica","S & M","For Whom The Bell Tolls [Explicit]","4:53","2","0","not-rated"
"Simply Red","The Greatest Hits 25","For Your Babies","4:19","5","0","not-rated"
"Mushroomhead","The Righteous & The Butterfly","For Your Pleasure","4:14","","0","not-rated"
"Cradle Of Filth","The Manticore And Other Horrors","For Your Vulgar Delectation","4:46","2","undefined","never-rated"
"Anberlin","Blueprints For City Friendships: The Anberlin Anthology","Foreign Language","2:50","8","4",""
"(Hed) P.E.","Only In Amerika","Foreplay","1:33","4","0","not-rated"
"System Of A Down","Toxicity","Forest","4:01","5","4",""
"Breed 77","Insects","Forever","4:39","3","5","thumbs-up"
"Nemesea","Uprise","Forever","3:48","2","undefined","never-rated"
"Ashes Divide","Keep Telling Myself It's Alright (Uk Version)","Forever Can Be","4:48","1","undefined","never-rated"
"Professor Green","At Your Inconvenience","Forever Falling (feat. Haydon)","5:05","1","0","not-rated"
"Mikolai Stroinski","The Witcher 3: Wild Hunt - Official Soundtrack","Forged in Fire","2:04","2","0","not-rated"
"Marina And The Diamonds","FROOT","Forget","4:09","8","undefined","never-rated"
"Mudvayne","Lost and Found","Forget To Remember","3:35","1","undefined","never-rated"
"Cee Lo Green","The Lady Killer [Explicit]","Forget You","3:43","1","0","not-rated"
"Skillet","Awake","Forgiven","3:39","3","0","not-rated"
"Alanis Morissette","Jagged Little Pill (Remastered)","Forgiven (2015 Remastered)","5:00","1","undefined","never-rated"
"Linkin Park","Hybrid Theory (Bonus Track Version)","Forgotten","3:14","3","5","thumbs-up"
"Spineshank","Self-Destructive Pattern","Forgotten","3:20","4","5","thumbs-up"
"Jeremy Soule & Julian Soule","Guild Wars: Nightfall","The Forgotten God","2:21","","0","not-rated"
